IP地址,端口,TLS,数据中心,地区,城市,ASN,网络延迟
148.135.9.107,45920,true,LAX,North America,Los Angeles,35916,209 ms
2607:f130:0:105:216:3cff:fe81:2617,56667,true,LAX,North America,Los Angeles,35916,209 ms
148.135.67.18,8443,true,LAX,North America,Los Angeles,35916,209 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16762,true,LAX,North America,Los Angeles,35916,209 ms
142.171.192.140,10001,true,LAX,North America,Los Angeles,35916,209 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16575,true,LAX,North America,Los Angeles,35916,209 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16840,true,LAX,North America,Los Angeles,35916,209 ms
2607:f130:0:190::6b09:2bae,995,true,LAX,North America,Los Angeles,35916,209 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16557,true,LAX,North America,Los Angeles,35916,209 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16425,true,LAX,North America,Los Angeles,35916,209 ms
74.48.100.162,17213,true,LAX,North America,Los Angeles,35916,210 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16316,true,LAX,North America,Los Angeles,35916,210 ms
74.48.4.205,12525,true,LAX,North America,Los Angeles,35916,210 ms
142.171.81.20,443,true,LAX,North America,Los Angeles,35916,210 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16216,true,LAX,North America,Los Angeles,35916,210 ms
66.103.210.62,443,true,LAX,North America,Los Angeles,35916,210 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16036,true,LAX,North America,Los Angeles,35916,210 ms
148.135.22.235,20150,true,LAX,North America,Los Angeles,35916,210 ms
142.171.251.179,10180,true,LAX,North America,Los Angeles,35916,210 ms
142.171.52.104,90,false,LAX,North America,Los Angeles,35916,211 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16596,true,LAX,North America,Los Angeles,35916,211 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16570,true,LAX,North America,Los Angeles,35916,211 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16041,true,LAX,North America,Los Angeles,35916,211 ms
74.48.17.250,443,true,LAX,North America,Los Angeles,35916,211 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16850,true,LAX,North America,Los Angeles,35916,211 ms
74.48.96.113,443,true,LAX,North America,Los Angeles,35916,211 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16967,true,LAX,North America,Los Angeles,35916,211 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16084,true,LAX,North America,Los Angeles,35916,211 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16677,true,LAX,North America,Los Angeles,35916,212 ms
74.48.86.121,12222,true,LAX,North America,Los Angeles,35916,212 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16875,true,LAX,North America,Los Angeles,35916,212 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16156,true,LAX,North America,Los Angeles,35916,212 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16282,true,LAX,North America,Los Angeles,35916,212 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16949,true,LAX,North America,Los Angeles,35916,212 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16968,true,LAX,North America,Los Angeles,35916,212 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16618,true,LAX,North America,Los Angeles,35916,212 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16207,true,LAX,North America,Los Angeles,35916,213 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16422,true,LAX,North America,Los Angeles,35916,213 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16867,true,LAX,North America,Los Angeles,35916,213 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16055,true,LAX,North America,Los Angeles,35916,213 ms
2607:f130:0:190:216:3eff:fe67:9a12,443,true,LAX,North America,Los Angeles,35916,213 ms
142.171.38.53,8880,true,LAX,North America,Los Angeles,35916,213 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16964,true,LAX,North America,Los Angeles,35916,213 ms
2607:f130:0:186:216:3eff:fe23:c72e,8443,true,LAX,North America,Los Angeles,35916,214 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16890,true,LAX,North America,Los Angeles,35916,214 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16087,true,LAX,North America,Los Angeles,35916,214 ms
74.48.74.18,443,true,LAX,North America,Los Angeles,35916,214 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16452,true,LAX,North America,Los Angeles,35916,214 ms
74.48.100.162,58318,true,LAX,North America,Los Angeles,35916,214 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16688,true,LAX,North America,Los Angeles,35916,214 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16763,true,LAX,North America,Los Angeles,35916,214 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16936,true,LAX,North America,Los Angeles,35916,214 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16568,true,LAX,North America,Los Angeles,35916,215 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16577,true,LAX,North America,Los Angeles,35916,215 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16120,true,LAX,North America,Los Angeles,35916,215 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16167,true,LAX,North America,Los Angeles,35916,215 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16341,true,LAX,North America,Los Angeles,35916,215 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16993,true,LAX,North America,Los Angeles,35916,215 ms
74.48.27.187,10000,true,LAX,North America,Los Angeles,35916,215 ms
2607:f130:0:f6:216:3cff:fe53:2858,443,true,LAX,North America,Los Angeles,35916,215 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16871,true,LAX,North America,Los Angeles,35916,215 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16679,true,LAX,North America,Los Angeles,35916,216 ms
2607:f130:0:f3:ff:ff:a79e:ded6,16546,true,LAX,North America,Los Angeles,35916,216 ms
